Date,nKL2001_IN0484,nKL2002_IN0484,nKL2003_IN0484,nKL2004_IN0484,nKL2006_IN0484,nKL2007_IN0484,nKL2008_IN0484,nKL2901_IN0484,nKL2902_IN0484,nKL2903_IN0484,nKL2904_IN0484,nKL2906_IN0484,nKL2907_IN0484,nKL2908_IN0484,nKL3901_IN0484,nKL3902_IN0484,nKL3903_IN0484,nKL3904_IN0484,nKL3906_IN0484,nKL3907_IN0484,nKL3908_IN0484
2024-01-01,3.3875,4.331944444444444,3.2680555555555557,3.9597222222222226,4.324999999999999,3.779166666666667,4.841666666666667,3.522222222222222,4.373611111111111,4.511111111111111,4.601388888888889,2.411111111111111,2.851388888888889,4.319444444444445,3.0638888888888887,2.923611111111111,3.5749999999999997,3.136111111111111,3.384722222222222,3.619444444444445,3.5055555555555555
2024-01-02,5.359722222222222,6.383333333333334,5.473611111111111,6.023611111111111,6.958333333333333,6.4319444444444445,6.800000000000001,5.608333333333333,6.484722222222222,6.538888888888889,6.590277777777778,4.665277777777778,5.159722222222222,6.702777777777778,5.295833333333333,5.206944444444444,5.733333333333333,5.387499999999999,5.841666666666667,6.030555555555555,5.890277777777778
2024-01-03,8.270833333333334,9.390277777777778,8.327777777777778,8.99861111111111,9.898611111111112,9.127777777777778,9.393055555555556,8.588888888888889,9.372222222222222,9.590277777777779,9.475000000000001,7.4375,7.909722222222222,9.520833333333334,8.254166666666666,7.984722222222222,8.661111111111111,8.113888888888889,8.588888888888889,8.884722222222223,8.662500000000001
2024-01-04,6.923611111111111,8.00138888888889,6.934722222222223,7.577777777777778,8.05,7.493055555555555,7.808333333333334,7.11388888888889,7.854166666666667,8.147222222222222,8.023611111111112,6.052777777777778,6.4,7.9541666666666675,6.844444444444445,6.580555555555556,7.155555555555556,6.708333333333333,6.761111111111111,7.290277777777778,7.079166666666667
2024-01-05,1.713888888888889,2.5125,1.9263888888888887,2.1222222222222222,3.0555555555555554,2.2805555555555554,3.1097222222222225,1.9166666666666667,2.7916666666666665,2.7694444444444444,3.033333333333333,1.3291666666666666,1.7319444444444445,3.4166666666666665,1.5499999999999998,1.865277777777778,2.2625,2.0638888888888887,2.404166666666667,2.5944444444444446,2.676388888888889
2024-01-06,0.7583333333333333,1.551388888888889,1.1027777777777779,1.1152777777777778,2.5638888888888887,1.6916666666666667,2.447222222222222,1.1236111111111111,2.0541666666666667,1.8555555555555554,2.3736111111111113,0.7027777777777778,1.2944444444444445,2.9055555555555554,0.9236111111111112,1.3250000000000002,1.75,1.651388888888889,2.0125,2.2694444444444444,2.301388888888889
2024-01-07,-4.091666666666667,-2.798611111111111,-3.3,-2.6930555555555555,-2.226388888888889,-2.808333333333333,-2.3777777777777778,-3.448611111111111,-1.9916666666666667,-2.551388888888889,-1.5916666666666666,-3.9305555555555554,-3.0833333333333335,-1.6805555555555556,-3.5319444444444446,-3.0444444444444443,-2.072222222222222,-2.6236111111111113,-2.0027777777777778,-2.361111111111111,-2.6791666666666667
2024-01-08,-8.622222222222222,-7.0625,-7.847222222222222,-6.987500000000001,-6.961111111111111,-7.472222222222222,-7.186111111111111,-8.068055555555555,-6.518055555555556,-6.884722222222222,-5.868055555555555,-8.568055555555555,-7.651388888888889,-6.490277777777778,-7.9541666666666675,-7.759722222222223,-6.598611111111111,-7.413888888888888,-6.359722222222222,-6.856944444444444,-7.395833333333333
2024-01-09,-12.595833333333333,-11.13888888888889,-11.552777777777777,-10.911111111111111,-10.616666666666667,-11.306944444444445,-10.554166666666667,-12.006944444444445,-10.422222222222222,-11.122222222222222,-9.502777777777778,-12.654166666666667,-11.254166666666666,-10.533333333333333,-11.7,-11.83611111111111,-10.386111111111111,-11.48611111111111,-10.776388888888889,-11.015277777777778,-11.113888888888889
2024-01-10,-10.25138888888889,-9.165277777777778,-9.893055555555556,-8.920833333333333,-8.8,-9.455555555555556,-8.515277777777778,-10.011111111111111,-7.977777777777778,-9.1875,-7.072222222222222,-10.709722222222222,-9.165277777777778,-8.854166666666666,-9.309722222222222,-10.023611111111112,-8.306944444444445,-9.908333333333333,-8.744444444444445,-9.522222222222222,-9.527777777777779
